作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
甘藍(元/公斤),2013,28.93,18.19,12.98,18.10,38.18,-,-,-,-,-,-,-,
甘藍芽(元/公斤),2013,21.11,14.34,12.94,25.94,23.22,22.06,20.61,25.61,48.89,27.28,19.61,23.94,
小白菜(元/公斤),2013,25.75,19,14.50,22.33,16.67,19,14.33,18.33,38,17.33,17.60,15,
青江白菜(元/公斤),2013,16.06,5.83,3.95,11.16,13.01,14.07,11.34,12.08,28.11,18.14,8.74,9.83,
結球白菜(元/ 公斤),2013,32.50,12.01,10.49,34.61,-,30.90,52.13,64.87,59.56,51.46,27.73,26.75,
菠菜(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
芥藍(元/公斤),2013,51.67,-,31,36,29.33,28,27.67,28,48.33,40.67,24,33.33,
莧菜(元/公斤),2013,37.83,16,13.33,27.67,31.67,-,-,-,-,-,-,-,
本島萵苣(元/公斤),2013,20,15,11.11,23,29.33,-,-,-,-,-,-,-,
萵苣(油麥菜)(元/公斤),2013,43.94,21.67,18.67,22.67,-,-,-,-,-,42.25,29.33,37,
茼萵(元/公斤),2013,24,11.04,10.60,19.23,21.80,39.08,33.67,32.78,62.78,48.39,18.87,22.40,
花椰菜(白)(元/公斤),2013,31.64,15.40,11.63,18.75,28.48,-,-,-,-,-,-,-,
青花苔(元/公斤),2013,595.33,593.75,582.50,582.50,547.50,580,568.17,574.67,593.66,588.89,591.66,601.11,
金針菜  (乾)(元/公斤),2013,24.86,16.40,11.27,19.27,18.64,12.18,14.73,17.34,30.89,20.16,14.25,17.89,
胡瓜(黑刺)(元/公斤),2013,30.11,29.84,24.59,32.12,27.33,18.66,22.68,29.10,43.47,29.53,21.93,28.01,
花胡瓜(元/公斤),2013,10,7,9.90,9.98,9.58,10,-,10.85,11.92,12.42,9.87,9.33,
冬瓜(元/公斤),2013,44.14,40.72,29.55,27.72,29.68,25.31,25.39,32.75,66.20,42.87,32.76,41.34,
苦瓜(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
絲瓜(菱角)(元/公斤),2013,24.26,15.60,15.91,22.08,20.16,16.14,21.75,17.93,38.29,26.18,23.45,26.69,
絲瓜(元/公斤),2013,14.78,8.17,8.86,14.67,17,-,-,-,-,16,9,12.33,
扁蒲(元/公斤),2013,18.27,10.13,11.33,22.37,24.67,25.56,26.83,30.45,60.17,38.14,26.39,28.47,
茄子(元/公斤),2013,14.95,11.86,14.89,18.61,26.83,45.28,46.57,29.74,49.40,62.50,56.15,37.30,
番茄(黑柿)(元/公斤),2013,41.45,35.83,41.22,34.17,40.83,63.33,45,63.33,90,56.67,100,76.67,
小蕃茄(聖女)(元/公斤),2013,28.82,14.35,11.81,19.83,34,48.14,30.01,26.09,57.45,52.75,27.83,28.86,
甜椒(青椒)(元/公斤),2013,-,-,-,14.10,10.89,16.48,14.86,10,-,19,16.67,-,
西瓜(大粒)(元/公斤),2013,-,-,16.78,9.04,8.67,15.62,10.67,12.17,18,20.38,18.17,12,
西瓜(小粒)(元/公斤),2013,-,-,-,11,8,-,-,-,-,-,-,-,
西瓜(無子)(元/公斤),2013,31.33,33.25,43.83,38.13,41,38.76,24.12,24.25,34.92,34.67,23,38.33,
洋香瓜(元/ 公斤),2013,-,-,53.83,29.17,33,57.60,41.78,37.75,40.50,43.89,33.17,-,
香瓜(美濃瓜)(元/公斤),2013,59.33,45.17,33.33,58,70.42,63.07,79.93,78,100.87,87.56,44.87,44.76,
敏豆(四季豆)(元/公斤),2013,40.56,34.17,29.33,36.78,33.42,22,24.81,30.33,57.53,49.58,34.67,41.56,
豇豆(元/公斤),2013,102.08,87.75,41.59,81.50,-,-,-,-,-,-,83.17,70.91,
豌豆(元/公斤),2013,58.33,55,31.50,73,-,-,-,-,-,-,-,-,
甜豌豆(元/公斤),2013,22.12,12.35,12.35,12.37,12.61,-,-,-,-,-,12.50,-,
毛豆(帶莢)(元/公斤),2013,33.63,28.88,33.17,22.28,34.24,41.58,55.05,27,80.83,92.83,130.50,101.89,
辣椒(元/公斤),2013,16.29,13.25,12.67,12.36,13.34,12.09,10.17,13.16,23.18,22.89,18.62,14.40,
甜玉米(鮮食)(元/公斤),2013,83.17,-,-,-,-,-,-,48.33,55,55,94.47,89.17,
蓮藕(元/公斤),2013,154.17,151.25,64.44,70.56,-,-,-,-,-,-,-,162.22,
草莓(元/公斤),2013,84.44,81.67,79.44,108,98.33,103.33,95,105,116.67,105.83,95.56,90.53,
洋菇(元/公斤),2013,1105.83,1147.50,1124.17,1122.50,1117.50,1134.17,1150,1167.50,1175,1180.83,1186.67,1200.83,
香菇(太空包)乾(元/公斤),2013,74.33,74.83,74.55,72.22,73.55,74.11,73.67,75,72.78,73.89,76,76.22,
香菇(太空包)鮮(元/公斤),2013,42.17,40.50,42.83,31.67,33.67,36,34.33,45.33,52.33,51,57.83,69.17,
木耳(黑色溼)(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
鮑魚菇(元/公斤),2013,-,-,-,-,-,78,79.22,80.11,96.45,92.67,89.11,86.34,
杏鮑菇(元/公斤),2013,13.67,12.50,15.67,16,-,-,-,-,14,16.58,18.33,18.42,
葡萄柚(元/公斤),2013,-,-,76.67,62.04,53.49,29.32,23.75,-,-,-,-,-,
芒果(在來)(元/公斤),2013,-,-,-,88.83,81.47,44.45,28.64,41.70,-,-,-,-,
芒果(愛文)(元/公斤),2013,-,-,-,-,58.34,24.78,20.06,30.03,-,-,-,-,
芒果(金煌)(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(泰國)(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(世紀)(元/公斤),2013,11.22,13.62,13.13,11.12,21.81,19.20,10.62,19.56,32.14,33.90,29.04,40.18,
番石榴(珍珠)(元/公斤),2013,61.46,58.04,50.36,49.58,54.98,49.72,-,-,-,-,73.53,71.08,
蓮霧(元/公斤),2013,-,63.75,99.03,74.50,-,-,-,-,-,-,-,-,
枇杷(元/公斤),2013,-,-,-,-,43.75,25.69,26.50,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2013,-,-,-,-,100.08,46.46,-,-,-,-,-,-,
荔枝(玉荷)(元/公斤),2013,-,-,-,-,-,-,45.96,40.74,44.95,-,-,-,
龍眼(大粒)(元/公斤),2013,52.81,39.17,36.17,-,-,-,-,-,-,-,61.84,61.32,
棗子(元/公斤),2013,60.89,58,62.61,-,-,-,81,61.89,55.83,66.11,64.96,63.11,
番荔枝(元/公斤),2013,17.60,15.29,21.08,23.50,-,-,-,22,28.05,31.11,32.22,32,
楊桃(馬來種)(元/公斤),2013,-,-,-,-,-,70,47.33,44.44,56.89,53.33,69.33,91,
酪梨(元/公斤),2013,5.33,5.29,5.52,5.78,6.11,6.64,6.18,6.56,6.06,6.82,6.13,5.94,
椰子(元/公斤),2013,0.65,0.97,1.15,1.45,1.92,1.07,0.91,1.05,0.91,0.73,0.55,0.67,
檳榔(元/ 粒),2013,25.47,16.05,27.14,31.45,29.07,30.24,21.98,27.41,25.55,44.89,54.65,42.40,
木瓜(元/公斤),2013,-,-,-,-,-,63.83,50,40.33,51.17,47.83,56,42,
百香果(元/公斤),2013,30.83,30.68,24.89,23.93,23.49,7.88,10.37,22.62,29.12,30.81,36.67,36.74,
香蕉(內銷)(元/公斤),2013,-,-,-,-,-,16.34,15.13,16.48,17.23,17.23,13,-,
鳳梨(開英)(元/公斤),2013,24.17,23.50,26.16,20.01,20.68,23.46,19.40,27.30,23.05,21.83,17.58,17.25,
鳳梨(17號)(元/公斤),2013,-,-,-,-,100,69.89,50.58,44.25,49.61,44.54,70.92,-,
紅龍果(元/公斤),2013,37.04,39.38,-,-,-,-,-,-,-,38.56,30.32,30.37,
椪柑(元/公斤),2013,41.31,30.13,27.78,28.67,-,-,-,-,-,-,-,-,
桶柑(元/公斤),2013,-,-,-,-,-,-,-,24,41.79,26.33,-,-,
文旦(元/公斤),2013,17.43,20.41,21.13,21.44,-,-,-,-,-,18.47,18.07,19.46,
柳橙(元/公斤),2013,27.83,29.42,38.89,32.30,29.29,39.02,23.71,30.36,37,52.67,80.15,70.45,
檸檬(元/公斤),2013,25.18,21.67,-,-,-,-,-,-,-,-,-,35,
海梨柑(元/公斤),2013,50.17,54.37,44.06,39.17,-,-,-,-,-,-,-,-,
茂谷柑(元/公斤),2013,27.33,35.50,40,-,-,-,-,-,-,-,55,42.33,
金柑(元/公斤),2013,-,-,-,25,21.67,-,-,-,-,-,-,-,
李(玉李)(元/公斤),2013,-,-,-,-,37.50,45,-,-,-,-,-,-,
李(紅肉)(元/公斤),2013,-,-,-,-,-,65,-,-,-,-,-,-,
鶯歌桃(元/公斤),2013,-,-,-,46.67,49,-,-,-,-,-,-,-,
甜桃(元/公斤),2013,-,-,-,-,-,-,66.35,82.67,-,-,-,-,
水蜜桃(元/公斤),2013,-,-,-,-,-,-,-,-,38.33,32.17,30,-,
牛心柿(元/公斤),2013,-,-,-,-,-,-,-,-,58.33,88.39,89.50,76.67,
甜柿(元/公斤),2013,-,-,-,-,-,-,-,15.37,21.55,20.77,24,-,
紅柿(軟柿)(元/公斤),2013,-,-,36.41,35.84,34.99,-,-,-,-,-,-,-,
青梅(手採)(元/公斤),2013,-,-,-,11.85,12.83,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2013,-,-,-,-,-,-,-,30,24.33,-,-,-,
橫山梨(元/公斤),2013,-,-,-,-,-,-,-,60,63.33,50,-,-,
新世紀梨(元/公斤),2013,-,-,-,-,-,56.13,78.03,129.50,-,-,-,-,
豐水梨(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
幸水梨(元/公斤),2013,-,-,-,-,-,-,36.56,39.78,46.42,55.67,-,-,
新興梨(元/公斤),2013,73.47,-,71.67,73.33,60,70.33,53.05,71.13,73.06,69.05,64.23,75.62,
巨峰葡萄(元/公斤),2013,53.72,53.44,54.54,54.80,55.11,58.71,57.48,55.34,57.04,57,60.85,64.46,
落花生(帶殼)(元/公斤),2013,57.91,62.53,64.67,-,-,-,-,-,-,-,-,55.33,
紅豆(中等)(元/公斤),2013,80.50,80.25,80.67,80.50,89,90.42,80.83,80.17,80.67,80.83,80.67,-,
綠豆(省產)(元/公斤),2013,22.41,15.91,13.06,12.62,11.47,12.08,11.81,13.01,17.63,18.05,20.06,20.63,
甘藷(元/公斤),2013,-,-,224.34,259.49,252.51,150.57,122.67,147,173.33,216.52,259.13,156.67,
烏龍茶菁(手)(元/公斤),2013,-,-,-,75.77,66.61,55,55.83,56.38,57.50,61.38,78,-,
烏龍茶菁(機)(元/公斤),2013,-,-,120,146.26,143.62,102.22,70.67,75,120.42,126.62,151,131,
金萱茶菁(手)(元/公斤),2013,-,-,33.30,47.73,43.07,39.33,41,39.33,39.89,43.92,48.45,-,
金萱茶菁(機)(元/公斤),2013,-,-,-,-,-,443.50,477.17,446.17,396.33,380.83,-,-,
蓮子(脫殼)(元/公斤),2013,11.29,10.77,9.83,9.83,9.79,10.17,8.83,9.94,9.71,10.58,10.74,11.06,
紅甘蔗(元/公斤),2013,209.13,230,230,230,207.77,207.77,230,230,230,243.33,238.67,232.39,
芝麻(黑省產)(元/公斤),2013,7.25,7.50,7.13,7.72,7.88,7.07,7.54,8.26,5.84,6.24,6.55,7.76,
文心蘭(元/支),2013,5.23,5.54,4.37,6.42,5.60,6.22,5.33,6,7.35,7.17,5.62,6.17,
菊花(大菊)(元/支),2013,5.88,4.98,4.27,2.82,3.29,4.34,3.93,3.67,5.05,5.09,4.14,6.90,
玫瑰(黛安娜)(元/支),2013,12.14,12.28,11.06,9.33,8.53,9.18,11.03,11.56,11.63,11.86,11.08,12.42,
火鶴(紅)(元/支),2013,4.17,3.48,2.05,2.77,3.28,4,3.65,4.47,5.73,5.69,3.27,4.82,
非洲菊(元/支),2013,70.78,51,31.27,47.37,84.28,65.33,78.25,95.42,80.97,139.87,90.67,67.40,
滿天星(元/ 把),2013,51.33,61.50,45.67,34,18.67,55,51.67,46.67,61.67,65,50,61.67,
卡斯比亞(元/把),2013,-,-,-,-,-,-,-,-,-,-,-,-,
香石竹(康乃馨)大輪(元/支),2013,3.83,5,2.80,3.30,5.20,3.47,3.57,4.39,5.16,6.04,4.38,4.27,
香石竹(康乃馨)中康(元/支),2013,10.25,12.50,8,10,12.80,11.73,9.43,6.83,8.33,10,10,13,
天堂鳥(元/支),2013,5.17,6,4.50,6,5.50,4,4.17,4.50,6.17,5.50,4.17,6.33,
夜來香(元/支),2013,5.58,7.26,5.03,4.49,4.85,4.97,6.19,5.75,5.97,5.30,4.51,5.77,
唐菖蒲(劍蘭)(元/支),2013,-,-,-,-,-,28.62,25.85,21.67,31.57,31,26,35.73,
葵百合(紅)(元/支),2013,-,-,-,-,-,-,-,-,-,-,-,-,
姬百合(橙)(元/支),2013,20.56,27.29,24.92,23.97,30.50,25.81,28.40,28.17,33.77,40.83,34.33,41.71,
香水百合(白)(元/支),2013,21.69,23.66,22.42,20.52,23.50,23,22.33,24,25,24,23.67,24,
香水百合(黃)(元/支),2013,-,-,-,-,-,-,-,-,-,-,66.67,70,
聖誕紅(元/盆),2012,17.66,10.81,6.87,6.76,7.87,8.99,6.33,13.60,7.20,8.22,5.46,8.42,
蘿蔔(元/公斤),2012,13.76,9.68,11.05,14.34,17.70,18.83,23.67,25.33,27.50,23.67,24.08,21.83,
胡蘿蔔(元/公斤),2012,-,-,12.70,12.92,12.70,-,-,-,-,-,-,-,
牛蒡(元/公斤),2012,-,-,-,-,35,38.34,40.01,45.74,47.13,53.34,-,-,
生薑(嫩薑)(元/公斤),2012,-,-,-,-,14.33,-,-,-,-,-,-,-,
生薑(老薑粉薑)(元/公斤),2012,37.42,38.61,43,37.33,32,32.67,35,36.51,38.61,41.17,43.69,48.08,
芋頭(元/公斤),2012,-,-,-,91.22,85.12,71.72,69.90,70.54,58.47,58.78,-,-,
綠竹筍(元/公斤),2012,-,-,-,26.33,22,21.67,20.17,23.33,20.83,20,-,-,
烏殼;綠竹筍(元/公斤),2012,65,68.33,61.67,55.67,31.25,23.61,22.47,29.33,30.73,27.12,40,54,
麻竹筍(元/公斤),2012,-,-,29,16,-,-,-,-,-,-,-,-,
桂竹筍(生筍)(元/公斤 ),2012,-,-,-,-,-,-,-,-,-,-,-,-,
轎篙筍(元/公斤),2012,-,-,-,-,70,73.03,70.33,87.83,76.67,78.17,70,-,
白蘆筍(元/公斤),2012,-,-,87.22,88.33,84.22,80.82,76.94,86.67,76.44,78.61,89.17,-,
綠蘆筍(元/公斤),2012,-,-,-,40.67,42.67,54,57,62.67,37,42,41.33,-,
茭白筍(帶殼)(元/公斤),2012,16.17,8.67,11,-,-,-,-,-,-,-,-,-,
大芥菜(鮮食)(元/公斤),2012,17.19,17.53,18.11,22.56,24,25.67,28.50,29.33,28.17,25.67,22.83,27.11,
馬鈴薯(食用)(元/公斤),2012,45.17,46.35,41.55,29.96,24.46,35.49,73.18,130.96,111.31,67.30,44.13,36.31,
青蔥(元/公斤),2012,16.50,11.23,8.78,11.99,15.33,17.33,21.40,23,-,-,28.50,16.33,
洋蔥(內銷)(元/公斤),2012,54.84,36.57,30.30,24.48,29.33,-,-,-,-,-,-,69.17,
青蒜(元/公斤),2012,-,42.50,44.73,60.24,67.52,58.82,60.21,61.95,63.66,62.58,58.53,58.87,
蒜頭(蒜球)(元/公斤),2012,34.34,32.56,35.11,24.28,22.33,27.39,31.50,41.89,42.89,45.39,28.44,28.33,
韭菜(元/公斤),2012,-,-,-,-,-,-,-,-,-,-,-,-,
韭黃(元/公斤),2012,54.17,31.78,33.40,18.13,32.71,27.07,19,39.80,23.33,17.67,21.11,61.78,
蕹菜(空心菜)(元/公斤),2012,44.50,37.75,34,25.78,41.92,-,-,-,-,-,-,-,
芹菜(土芹菜)(元/公斤),2012,22.63,16.47,12.16,7.22,13.78,15.42,19.93,30.38,24.86,12.94,4.99,9.16,
甘藍(元/公斤),2012,53.70,23.27,21.52,14.65,29.16,-,-,-,-,-,-,-,
甘藍芽(元/公斤),2012,30.88,15.92,16.83,13.42,28,28.42,23.81,36.25,28,14.33,20,35.75,
小白菜(元/公斤),2012,23.17,17.33,17.72,14,26.33,22.17,20.17,34.83,22.67,12,18.67,36.16,
青江白菜(元/公斤),2012,17.04,7.93,8.64,6.43,12.67,15.77,13.61,20.71,15.67,9.36,5.55,15.14,
結球白菜(元/ 公斤),2012,30.88,15,19.58,18.67,-,41.02,44.67,47.78,39.98,47.82,26.12,42.15,
菠菜(元/公斤),2012,-,-,-,-,-,-,-,-,-,-,-,-,
芥藍(元/公斤),2012,46.50,-,51,49.33,42,30.67,23,37,27.33,16.67,24.67,70,
莧菜(元/公斤),2012,24.75,18,22.33,17.17,23.67,-,-,-,-,-,-,-,
本島萵苣(元/公斤),2012,22,15.78,14.22,13.67,25.83,-,-,-,-,-,-,-,
萵苣(油麥菜)(元/公斤),2012,26.67,22.05,29,18.67,-,-,-,-,-,31.50,34.67,42.22,
茼萵(元/公斤),2012,28.75,13.36,17.14,17.66,22.41,25.48,29.78,41.28,38.33,29.36,15.33,34,
花椰菜(白)(元/公斤),2012,34.26,17.94,19.49,22.13,18.45,-,-,-,-,-,-,-,
青花苔(元/公斤),2012,577.50,573.89,580,579.44,513.34,508.89,511.67,511.11,516.67,605.83,604.17,594.17,
金針菜  (乾)(元/公斤),2012,28.17,19.56,16.77,12.33,11.67,15.29,16.88,26.75,24.68,13.42,9.20,24.15,
胡瓜(黑刺)(元/公斤),2012,36.69,31.03,29,18.73,21.93,30.62,25.49,32.67,25.70,27.99,25.40,35.67,
花胡瓜(元/公斤),2012,13.50,12.33,18.68,17.57,10.95,-,-,15,15.85,9.40,7.68,9.33,
冬瓜(元/公斤),2012,52.07,62.33,54.67,27,28.96,34.92,34.20,53.70,39.93,35.04,30.02,38.04,
苦瓜(元/公斤),2012,-,-,-,-,-,-,-,-,-,-,-,-,
絲瓜(菱角)(元/公斤),2012,26.65,16.21,22.26,17.91,17.98,28.46,23.34,34.22,20.25,14.88,15.02,30.51,
絲瓜(元/公斤),2012,17.22,13.67,16.58,9.52,12.13,-,-,-,-,4.50,-,-,
扁蒲(元/公斤),2012,30.30,20,25.40,27.48,30.02,35.44,45.95,58.83,46.61,36.86,23.17,25.27,
茄子(元/公斤),2012,42.14,36.33,30.01,27.11,31.89,46.12,65.20,73.12,50.83,50.36,33.85,16.70,
番茄(黑柿)(元/公斤),2012,85.59,62.41,56.11,47.50,45,63.33,70,76.67,-,80,66.67,41.11,
小蕃茄(聖女)(元/公斤),2012,38.07,20.53,23.94,22.55,20.70,38.31,64.11,38.61,42.89,34.40,15.85,21.54,
甜椒(青椒)(元/公斤),2012,-,-,23,20.43,14.96,9.88,20.17,18,-,-,10.33,14,
西瓜(大粒)(元/公斤),2012,-,-,20.50,16.20,12.06,12.79,26.67,18.49,18.72,13.33,13,13,
西瓜(小粒)(元/公斤),2012,-,-,-,-,20,-,-,-,-,-,-,-,
西瓜(無子)(元/公斤),2012,35.25,30.50,40.22,37,31.96,35.63,34.84,32,43,37.02,25.50,34,
洋香瓜(元/ 公斤),2012,-,-,59,50.67,48.44,46.72,43.77,44.23,48.07,45.33,31.67,-,
香瓜(美濃瓜)(元/公斤),2012,57.90,53.33,48.33,52.17,51.67,67.95,77.80,91.39,57.50,59.80,46.98,54.49,
敏豆(四季豆)(元/公斤),2012,48,42.11,38.56,27.33,25,31.89,38.56,51.58,35.17,33.42,32.80,39.33,
豇豆(元/公斤),2012,131.92,56.83,55.48,66.67,-,-,-,-,-,-,76,101.57,
豌豆(元/公斤),2012,88.25,46.67,44.17,51.33,-,-,-,-,-,-,-,-,
甜豌豆(元/公斤),2012,27.35,14.70,14.70,14.70,13.43,-,-,-,-,-,-,-,
毛豆(帶莢)(元/公斤),2012,62.50,56.08,55.56,50.67,35.17,83.47,90.15,80.67,74.33,54.92,46.94,32.50,
辣椒(元/公斤),2012,17.78,19.26,17.71,13.31,12.47,13.25,15.69,19.39,16.29,18.33,14.74,15.42,
甜玉米(鮮食)(元/公斤),2012,80.25,75.33,-,-,-,-,-,56.67,60,60,83.40,82.70,
蓮藕(元/公斤),2012,116.67,145,99.44,76.11,-,-,-,-,-,-,-,152.50,
草莓(元/公斤),2012,72.84,77.67,81.44,87,101.33,110.83,105,106.67,108.89,102.22,99.44,94.17,
洋菇(元/公斤),2012,1031.63,940.83,929.17,934.17,950.83,957.50,980,1005,1005.83,1017.50,1031.67,1048.33,
香菇(太空包)乾(元/公斤),2012,68.34,69.56,70.67,70.78,70.78,69.22,70,70.56,69.55,70.78,70.33,72.56,
香菇(太空包)鮮(元/公斤),2012,41,40.50,38.83,33.67,29.67,36.67,37.33,44,49,47.33,46.50,39.50,
木耳(黑色溼)(元/公斤),2012,-,-,-,-,-,-,-,-,-,-,-,-,
鮑魚菇(元/公斤),2012,-,-,-,-,-,75,77.22,79.33,86.45,85.11,83,86.45,
杏鮑菇(元/公斤),2012,20,16.67,17.33,20.67,-,-,-,-,40,23.44,20,18.72,
葡萄柚(元/公斤),2012,-,-,70.67,78.95,79,41.22,41,-,-,-,-,-,
芒果(在來)(元/公斤),2012,-,-,-,109.04,90.90,57.02,62.43,79.70,-,-,-,-,
芒果(愛文)(元/公斤),2012,-,-,-,-,35,39.17,41.70,41.29,-,-,-,-,
芒果(金煌)(元/公斤),2012,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(泰國)(元/公斤),2012,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(世紀)(元/公斤),2012,25,14.89,19.94,20.17,31.61,26.45,13.83,20.24,48.29,34.20,30.93,14.92,
番石榴(珍珠)(元/公斤),2012,55.38,49.56,49.37,53,53.71,44.67,-,-,-,-,73.81,68.84,
蓮霧(元/公斤),2012,-,71.67,112.86,103.78,-,-,-,-,-,-,-,-,
枇杷(元/公斤),2012,-,-,-,-,-,47.04,42.50,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2012,-,-,-,-,127.20,77.75,-,-,-,-,-,-,
荔枝(玉荷)(元/公斤),2012,-,-,-,-,-,-,86.34,51.82,52.78,-,-,-,
龍眼(大粒)(元/公斤),2012,51.90,32.22,54.48,-,-,-,-,-,-,-,-,60.32,
棗子(元/公斤),2012,54.50,62,64,-,-,-,79.83,68.72,71.39,65.33,60.67,63.67,
番荔枝(元/公斤),2012,21.83,17.97,19.17,27.33,-,-,-,31,30.44,29.36,28.28,25.25,
楊桃(馬來種)(元/公斤),2012,-,-,-,-,-,51.50,57.11,54.67,72.44,84.33,77.67,95,
酪梨(元/公斤),2012,5.25,5.29,5.39,5.61,5.94,5.94,6.28,6.50,7,6.83,6.08,5.67,
椰子(元/公斤),2012,0.79,1.18,1.13,1.74,3.57,3.32,2.33,1.47,0.92,0.61,0.37,0.40,
檳榔(元/ 粒),2012,17.03,21.03,21.02,17.69,15.67,19.94,42.46,46.54,47.25,33.72,37.03,52.86,
木瓜(元/公斤),2012,-,-,-,-,-,55,43.33,58.83,56.50,35.67,40.50,42.33,
百香果(元/公斤),2012,12.89,12.67,19.64,13.24,11.75,12.49,15.89,32.42,38.82,29.06,30.89,33.40,
香蕉(內銷)(元/公斤),2012,-,-,-,-,16,16.78,16.19,16.53,29.42,18.33,16.09,-,
鳳梨(開英)(元/公斤),2012,17,14.83,15.25,16.84,22.60,22.48,22.42,26.01,33.17,22.67,21.67,20.67,
鳳梨(17號)(元/公斤),2012,-,-,-,-,-,61.25,49.89,57.06,60.78,51.75,59.17,-,
紅龍果(元/公斤),2012,20,14.67,-,-,-,-,-,-,-,30.52,26.71,29.83,
椪柑(元/公斤),2012,35.09,21.13,25.42,38,-,-,-,-,-,-,-,-,
桶柑(元/公斤),2012,-,-,-,-,-,-,-,24,38.10,-,-,-,
文旦(元/公斤),2012,11.53,11.68,15.43,21.55,-,-,-,-,-,14.42,14.40,14.08,
柳橙(元/公斤),2012,38.33,29.70,35.22,52.19,82.43,51.56,21.14,20.79,28.10,51.62,72.91,48.72,
檸檬(元/公斤),2012,13.73,11.33,-,-,-,-,-,-,-,-,-,30.50,
海梨柑(元/公斤),2012,39.88,33.72,34,34.83,-,-,-,-,-,-,-,43,
茂谷柑(元/公斤),2012,32.50,30.33,32.10,-,-,-,-,-,-,-,33,29,
金柑(元/公斤),2012,-,-,-,-,29,-,-,-,-,-,-,-,
李(玉李)(元/公斤),2012,-,-,-,-,30,48.33,-,-,-,-,-,-,
李(紅肉)(元/公斤),2012,-,-,-,-,48,52,38,-,-,-,-,-,
鶯歌桃(元/公斤),2012,-,-,-,48.33,60.33,-,-,-,-,-,-,-,
甜桃(元/公斤),2012,-,-,-,-,-,-,67.33,85,-,-,-,-,
水蜜桃(元/公斤),2012,-,-,-,-,-,-,-,-,-,32.50,27.67,-,
牛心柿(元/公斤),2012,-,-,-,-,-,-,-,-,-,78.55,76.67,-,
甜柿(元/公斤),2012,-,-,-,-,-,-,-,22.87,23.30,21.45,30,-,
紅柿(軟柿)(元/公斤),2012,-,-,-,40.77,18,-,-,-,-,-,-,-,
青梅(手採)(元/公斤),2012,-,-,-,10.20,8.13,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2012,-,-,-,-,-,-,35,35,-,-,-,-,
橫山梨(元/公斤),2012,-,-,-,-,-,-,-,52.50,58.15,63,-,-,
新世紀梨(元/公斤),2012,-,-,-,-,-,57.56,71.75,166,-,-,-,-,
豐水梨(元/公斤),2012,-,-,-,-,-,-,-,-,-,-,-,-,
幸水梨(元/公斤),2012,-,-,-,-,-,45,40.36,42.04,48.33,58.33,-,-,
新興梨(元/公斤),2012,40.50,25,34,42.50,104.50,68.06,52.69,65.77,79.49,76.77,72.44,70.52,
巨峰葡萄(元/公斤),2012,35.33,33.95,33.40,35.79,36.64,45.71,51.90,49.61,47.55,46.02,53.30,56.79,
落花生(帶殼)(元/公斤),2012,46.26,45.27,-,-,-,-,-,-,-,-,-,52.92,
紅豆(中等)(元/公斤),2012,80.75,80.17,80.67,80.83,84.17,89.58,79.33,79,78.83,79,79.50,-,
綠豆(省產)(元/公斤),2012,10.25,7.96,7.35,9.26,12.29,14.64,16.09,18.62,19.12,20.34,23.11,25.79,
甘藷(元/公斤),2012,-,-,193.89,258.71,224.72,124.17,127.67,141.33,158.53,195.36,250.03,163.33,
烏龍茶菁(手)(元/公斤),2012,-,-,-,76.50,88.89,60,58.33,55,55,55.83,72.22,-,
烏龍茶菁(機)(元/公斤),2012,-,-,132.78,156.20,134.22,78.11,74,77.67,104.97,111.12,140.07,138,
金萱茶菁(手)(元/公斤),2012,-,-,26.70,45.34,43.51,41,39.33,36.56,37.67,38.45,48.98,-,
金萱茶菁(機)(元/公斤),2012,-,-,-,-,-,366,385.67,389.67,383.83,411.67,-,-,
蓮子(脫殼)(元/公斤),2012,11,10.55,9.98,8.82,10.33,9.15,9.17,10.35,10.03,10.73,11.42,11.19,
紅甘蔗(元/公斤),2012,220.88,224.58,222.50,220.17,219,219.78,227.17,223.22,213.38,215.17,219.15,208.74,
芝麻(黑省產)(元/公斤),2012,7.81,8.15,8.02,8.74,7.60,6.75,7.99,8.40,5.78,5.86,5.67,6.44,
文心蘭(元/支),2012,3.38,4.45,4.85,5.29,5.63,4.67,5,6.33,5.63,5.63,6.62,8.10,
菊花(大菊)(元/支),2012,6.16,9.10,6.20,2.36,3.49,3.15,3.30,3.62,3.84,4.88,3.93,4.99,
玫瑰(黛安娜)(元/支),2012,11.95,11.20,10.67,8.89,7.15,7.82,9.40,10.20,9.41,9.68,9.78,9.64,
