作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
烏龍茶菁(手)(元/公斤),2016,-,-,195,250.21,258.02,202.78,133,152.33,158.20,199.70,276.28,-,
烏龍茶菁(機)(元/公斤),2016,-,-,-,89.17,86.83,59.17,44.40,21.60,21.60,58.30,59.87,-,
金萱茶菁(手)(元/公斤),2016,-,-,132.56,148.19,146.53,116.22,75,75,92.22,107.08,150.42,-,
金萱茶菁(機)(元/公斤),2016,-,-,-,51.44,48.37,44.11,35.51,22.80,22.80,43.53,44.28,-,
蓮子(脫殼)(元/公斤),2016,-,-,-,-,-,583,563.67,570.67,570,551.67,-,-,
荖花(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
蜂蜜(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
紅甘蔗(元/公斤),2016,10.91,10.69,11.75,12.11,10.78,10.22,9.88,10.90,10.26,11.75,11.64,11.57,
芝麻(黑省產)(元/公斤),2016,233.04,235.50,250,250,227.02,228.87,250,250,250,250,250,244.13,
紅茶(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
綠茶(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
文心蘭(元/支),2016,4.64,7.09,8.56,9.90,10.49,5.76,6.13,6.71,3.98,3.73,7.80,6,
菊花(大菊)(元/支),2016,4.57,10.46,8.18,9.99,7.55,4.51,5.67,8.17,5.19,8.21,10.53,7.43,
菊(多花小菊)(元/支),2016,3.38,7.68,5.88,7.03,7.67,4.17,3.13,5.17,3.66,5.14,7.90,4.94,
玫瑰(黛安娜)(元/支),2016,5.43,6.64,9.11,4.20,3.66,3.92,3.33,4.44,4.36,6.19,5.64,4.47,
火鶴(紅)(元/支),2016,11.75,14,14.43,12.87,8.83,8,10.24,10.81,9.29,11.03,11.39,10.20,
非洲菊(元/支),2016,2.72,6.45,3.13,2.98,2.48,3.11,4.08,4.35,5.17,6.62,5.86,4.04,
滿天星(元/ 把),2016,63.68,73.50,70.67,70.33,77.33,52.50,45.67,70.33,81.50,137.17,82,63.67,
卡斯比亞(元/把),2016,45,106,77.33,75.17,57.33,41.33,40,61.33,54.33,94,86.67,90.67,
香石竹(康乃馨)大輪(元/支),2016,-,-,-,-,-,-,-,-,-,-,-,-,
香石竹(康乃馨)中康(元/支),2016,3.81,8.25,6,6.39,3.79,2.03,2.20,3.67,2.94,3.80,4.75,3.25,
天堂鳥(元/支),2016,13.67,23,12.67,9.83,11.33,10.67,14.75,8,7.33,17.67,14,9.50,
夜來香(元/支),2016,2.83,7,5.83,6.50,3.83,2.57,2.83,3.98,6.03,4.67,4.40,3.83,
唐菖蒲(劍蘭)(元/支),2016,2.80,7.53,5.81,8.84,3.75,3.82,4.63,5.54,6.77,6.04,5.47,4.38,
葵百合(紅)(元/支),2016,-,-,-,-,-,14.97,15.93,28.46,30.43,20.80,24.57,-,
姬百合(橙)(元/支),2016,-,-,-,-,-,-,-,-,-,-,-,-,
香水百合(白)(元/支),2016,13.49,36,30.97,30.44,24.67,20.30,18.26,31.53,34,23.92,25.44,20.43,
香水百合(黃)(元/支),2016,15.17,39.50,31.17,30.67,22.33,19,15.67,26.67,30,21.53,24.57,23.33,
大理花(元/支),2016,-,-,-,-,-,-,-,-,-,-,-,-,
